index,CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
106,12477.0,23,308,13117.01,4,5,5,455,Loyal Customers,0
107,12478.0,4,36,680.99,5,3,3,533,Loyal Customers,0
108,12479.0,4,35,477.3,5,3,3,533,Loyal Customers,0
109,12480.0,28,154,3281.63,4,5,5,455,Loyal Customers,0
110,12481.0,23,217,5574.36,4,5,5,455,Loyal Customers,0
111,12483.0,17,81,2327.13,4,4,5,445,Loyal Customers,0
112,12484.0,33,347,4480.87,3,5,5,355,Loyal Customers,0
113,12488.0,10,55,1298.66,5,3,4,534,Loyal Customers,0
114,12489.0,336,15,334.93,1,2,2,122,At Risk,2
115,12490.0,5,245,5417.93,5,5,5,555,Loyal Customers,0
116,12491.0,39,26,460.40000000000003,3,2,2,322,Loyal Customers,0
117,12492.0,63,20,263.21000000000004,3,2,2,322,Loyal Customers,0
118,12493.0,166,23,416.79,2,2,2,222,New Customers,3
119,12494.0,10,84,1139.3500000000001,5,4,4,544,Loyal Customers,0
120,12497.0,82,14,1043.1,2,1,4,214,Loyal Customers,0
121,12498.0,21,23,403.70000000000005,4,2,2,422,Loyal Customers,0
122,12500.0,23,65,4206.27,4,4,5,445,Loyal Customers,0
123,12501.0,315,160,2089.68,1,5,5,155,At Risk,2
124,12502.0,96,147,3723.87,2,5,5,255,New Customers,3
125,12503.0,338,1,-1126.0,1,1,1,111,At Risk,2
126,12504.0,18,15,114.0,4,2,1,421,Loyal Customers,0
127,12505.0,301,1,-4.5,1,1,1,111,At Risk,2
128,12506.0,233,23,73.5,1,2,1,121,At Risk,2
129,12507.0,134,23,1258.06,2,2,4,224,New Customers,3
130,12508.0,26,68,397.88,4,4,2,442,Loyal Customers,0
131,12509.0,284,7,176.5,1,1,1,111,At Risk,2
132,12510.0,143,33,982.5699999999999,2,3,4,234,New Customers,3
133,12512.0,66,31,132.18,3,3,1,331,Loyal Customers,0
134,12513.0,85,36,586.79,2,3,3,233,Loyal Customers,0
135,12514.0,267,51,1017.68,1,3,4,134,At Risk,2
136,12515.0,353,16,383.7,1,2,2,122,At Risk,2
137,12516.0,78,26,1312.06,2,2,4,224,Loyal Customers,0
138,12517.0,28,281,2443.65,4,5,5,455,Loyal Customers,0
139,12518.0,1,124,2056.89,5,5,5,555,Loyal Customers,0
140,12519.0,64,17,330.84,3,2,2,322,Loyal Customers,0
141,12520.0,79,155,2582.51,2,5,5,255,Loyal Customers,0
142,12521.0,143,38,599.68,2,3,3,233,New Customers,3
143,12522.0,39,12,192.72,3,1,1,311,Loyal Customers,0
144,12523.0,2,110,1745.57,5,4,4,544,Loyal Customers,0
145,12524.0,9,144,4485.72,5,5,5,555,Loyal Customers,0
146,12526.0,1,71,1316.66,5,4,4,544,Loyal Customers,0
147,12527.0,82,18,348.71000000000004,2,2,2,222,Loyal Customers,0
148,12528.0,9,95,1922.28,5,4,4,544,Loyal Customers,0
149,12530.0,60,68,1623.63,3,4,4,344,Loyal Customers,0
150,12531.0,15,17,125.22,4,2,1,421,Loyal Customers,0
151,12532.0,30,16,349.83000000000004,4,2,2,422,Loyal Customers,0
152,12534.0,131,63,1089.18,2,4,4,244,New Customers,3
153,12535.0,92,34,716.35,2,3,3,233,New Customers,3
154,12536.0,8,273,4106.82,5,5,5,555,Loyal Customers,0
155,12538.0,29,21,363.95,4,2,2,422,Loyal Customers,0
156,12539.0,22,274,3852.5,4,5,5,455,Loyal Customers,0
157,12540.0,20,481,13309.039999999999,4,5,5,455,Loyal Customers,0
158,12541.0,30,52,981.18,4,3,4,434,Loyal Customers,0
159,12544.0,30,20,355.7,4,2,2,422,Loyal Customers,0
160,12545.0,75,50,1000.39,2,3,4,234,Loyal Customers,0
161,12546.0,47,70,1141.5,3,4,4,344,Loyal Customers,0
162,12547.0,198,8,207.79999999999998,1,1,1,111,New Customers,3
163,12548.0,166,5,95.19999999999999,2,1,1,211,New Customers,3
164,12550.0,79,57,964.83,2,3,4,234,Loyal Customers,0
165,12551.0,358,10,168.0,1,1,1,111,At Risk,2
166,12552.0,39,20,437.82,3,2,2,322,Loyal Customers,0
167,12553.0,8,196,3652.25,5,5,5,555,Loyal Customers,0
168,12556.0,50,119,599.56,3,4,3,343,Loyal Customers,0
169,12557.0,16,33,11990.960000000001,4,3,5,435,Loyal Customers,0
170,12558.0,2,22,1.0658141036401503e-14,5,2,1,521,Loyal Customers,0
171,12559.0,311,22,536.21,1,2,3,123,At Risk,2
172,12560.0,5,111,2101.39,5,4,5,545,Loyal Customers,0
173,12561.0,303,16,238.85,1,2,2,122,At Risk,2
174,12562.0,8,168,3781.7400000000002,5,5,5,555,Loyal Customers,0
175,12564.0,261,21,456.9,1,2,2,122,At Risk,2
176,12565.0,282,10,131.17,1,1,1,111,At Risk,2
177,12566.0,73,20,346.7,2,2,2,222,Loyal Customers,0
178,12567.0,23,463,9114.94,4,5,5,455,Loyal Customers,0
179,12569.0,2,191,4064.9900000000002,5,5,5,555,Loyal Customers,0
180,12571.0,40,34,519.61,3,3,3,333,Loyal Customers,0
181,12572.0,9,62,1004.72,5,4,4,544,Loyal Customers,0
182,12573.0,227,28,160.54000000000002,1,2,1,121,At Risk,2
183,12574.0,316,11,218.45,1,1,1,111,At Risk,2
184,12576.0,36,89,1306.98,3,4,4,344,Loyal Customers,0
185,12577.0,35,147,564.2,3,5,3,353,Loyal Customers,0
186,12578.0,21,120,2753.36,4,4,5,445,Loyal Customers,0
187,12579.0,73,31,410.72,2,3,2,232,Loyal Customers,0
188,12580.0,247,24,415.7,1,2,2,122,At Risk,2
189,12581.0,40,15,197.71,3,2,1,321,Loyal Customers,0
190,12582.0,239,22,511.36,1,2,3,123,At Risk,2
191,12583.0,3,251,7187.34,5,5,5,555,Loyal Customers,0
192,12584.0,4,126,1893.95,5,5,4,554,Loyal Customers,0
193,12585.0,234,97,1982.81,1,4,4,144,At Risk,2
194,12586.0,17,12,179.94000000000003,4,1,1,411,Loyal Customers,0
195,12587.0,8,4,144.0,5,1,1,511,Loyal Customers,0
196,12588.0,39,10,214.89999999999998,3,1,1,311,Loyal Customers,0
197,12589.0,29,35,646.68,4,3,3,433,Loyal Customers,0
198,12590.0,190,70,9861.38,1,4,5,145,New Customers,3
199,12591.0,317,26,452.84999999999997,1,2,2,122,At Risk,2
200,12592.0,92,18,437.6,2,2,2,222,New Customers,3
201,12593.0,109,21,418.09999999999997,2,2,2,222,New Customers,3
202,12594.0,38,119,3320.2200000000003,3,4,5,345,Loyal Customers,0
203,12596.0,51,27,618.27,3,2,3,323,Loyal Customers,0
204,12597.0,19,214,3683.13,4,5,5,455,Loyal Customers,0
205,12598.0,10,133,3002.68,5,5,5,555,Loyal Customers,0
206,12599.0,29,62,1032.58,4,4,4,444,Loyal Customers,0
207,12600.0,29,65,2581.04,4,4,5,445,Loyal Customers,0
208,12601.0,190,29,569.5600000000001,1,2,3,123,New Customers,3
209,12602.0,59,12,153.12,3,1,1,311,Loyal Customers,0
210,12603.0,22,3,739.1999999999999,4,1,3,413,Loyal Customers,0
211,12604.0,79,16,254.18,2,2,2,222,Loyal Customers,0
212,12605.0,365,3,-7.5,1,1,1,111,At Risk,2
213,12607.0,58,202,3.552713678800501e-15,3,5,1,351,Loyal Customers,0
214,12609.0,78,60,1126.85,2,4,4,244,Loyal Customers,0
215,12610.0,23,111,2057.99,4,4,5,445,Loyal Customers,0
216,12611.0,52,65,1193.32,3,4,4,344,Loyal Customers,0
217,12612.0,58,21,643.59,3,2,3,323,Loyal Customers,0
218,12613.0,31,163,3218.98,4,5,5,455,Loyal Customers,0
219,12614.0,278,20,315.6,1,2,2,122,At Risk,2
220,12615.0,2,105,2291.19,5,4,5,545,Loyal Customers,0
221,12616.0,85,36,657.25,2,3,3,233,Loyal Customers,0
222,12617.0,29,41,352.98,4,3,2,432,Loyal Customers,0
223,12618.0,22,11,177.31,4,1,1,411,Loyal Customers,0
224,12619.0,16,95,3214.81,4,4,5,445,Loyal Customers,0
225,12620.0,15,92,1339.41,4,4,4,444,Loyal Customers,0
226,12621.0,2,474,13612.07,5,5,5,555,Loyal Customers,0
227,12622.0,232,11,180.1,1,1,1,111,At Risk,2
228,12623.0,276,18,305.1,1,2,2,122,At Risk,2
229,12624.0,106,38,641.13,2,3,3,233,New Customers,3
230,12625.0,212,91,2614.32,1,4,5,145,New Customers,3
231,12626.0,23,307,6388.35,4,5,5,455,Loyal Customers,0
232,12627.0,11,230,4478.53,5,5,5,555,Loyal Customers,0
233,12628.0,4,43,769.61,5,3,3,533,Loyal Customers,0
234,12630.0,10,64,1270.88,5,4,4,544,Loyal Customers,0
235,12631.0,57,31,640.5,3,3,3,333,Loyal Customers,0
236,12633.0,59,103,2140.63,3,4,5,345,Loyal Customers,0
237,12635.0,90,101,1689.18,2,4,4,244,Loyal Customers,0
238,12637.0,67,386,5934.25,3,5,5,355,Loyal Customers,0
239,12638.0,33,39,671.69,3,3,3,333,Loyal Customers,0
240,12639.0,239,22,486.1,1,2,3,123,At Risk,2
241,12640.0,24,53,1174.58,4,3,4,434,Loyal Customers,0
242,12641.0,115,10,185.9,2,1,1,211,New Customers,3
243,12642.0,25,47,1013.26,4,3,4,434,Loyal Customers,0
244,12643.0,128,24,3344.64,2,2,5,225,New Customers,3
245,12644.0,130,31,477.91,2,3,3,233,New Customers,3
246,12645.0,34,74,1755.38,3,4,4,344,Loyal Customers,0
247,12646.0,5,45,1346.97,5,3,4,534,Loyal Customers,0
248,12647.0,22,128,3669.92,4,5,5,455,Loyal Customers,0
249,12648.0,155,21,318.05,2,2,2,222,New Customers,3
250,12649.0,107,33,603.71,2,3,3,233,New Customers,3
251,12650.0,3,20,314.44,5,2,2,522,Loyal Customers,0
252,12651.0,335,9,114.0,1,1,1,111,At Risk,2
253,12652.0,322,51,914.53,1,3,4,134,At Risk,2
254,12653.0,149,43,2209.85,2,3,5,235,New Customers,3
255,12654.0,11,38,601.98,5,3,3,533,Loyal Customers,0
256,12656.0,17,130,3982.72,4,5,5,455,Loyal Customers,0
257,12657.0,11,56,1152.06,5,3,4,534,Loyal Customers,0
258,12658.0,19,36,686.05,4,3,3,433,Loyal Customers,0
259,12659.0,30,5,91.68,4,1,1,411,Loyal Customers,0
260,12660.0,11,13,245.1,5,1,2,512,Loyal Customers,0
261,12662.0,1,232,3817.08,5,5,5,555,Loyal Customers,0
262,12664.0,8,38,4863.88,5,3,5,535,Loyal Customers,0
263,12665.0,325,4,61.75,1,1,1,111,At Risk,2
264,12666.0,359,2,-227.44,1,1,1,111,At Risk,2
265,12667.0,58,33,620.13,3,3,3,333,Loyal Customers,0
266,12668.0,7,168,3743.18,5,5,5,555,Loyal Customers,0
267,12669.0,151,102,1607.73,2,4,4,244,New Customers,3
268,12670.0,10,94,2986.15,5,4,5,545,Loyal Customers,0
269,12672.0,330,10,225.89999999999998,1,1,1,111,At Risk,2
270,12673.0,5,42,610.52,5,3,3,533,Loyal Customers,0
271,12674.0,12,90,1922.26,4,4,4,444,Loyal Customers,0
272,12676.0,25,45,1331.39,4,3,4,434,Loyal Customers,0
273,12678.0,42,167,17588.26,3,5,5,355,Loyal Customers,0
274,12679.0,52,56,1058.67,3,3,4,334,Loyal Customers,0
275,12680.0,1,52,862.81,5,3,3,533,Loyal Customers,0
276,12681.0,15,646,13677.59,4,5,5,455,Loyal Customers,0
277,12682.0,4,524,12279.82,5,5,5,555,Loyal Customers,0
278,12683.0,4,362,8221.09,5,5,5,555,Loyal Customers,0
279,12684.0,8,105,2283.63,5,4,5,545,Loyal Customers,0
280,12685.0,28,157,2863.08,4,5,5,455,Loyal Customers,0
281,12686.0,372,7,89.14,1,1,1,111,At Risk,2
282,12688.0,114,171,4873.8099999999995,2,5,5,255,New Customers,3
283,12689.0,26,72,1247.61,4,4,4,444,Loyal Customers,0
284,12690.0,206,16,389.01,1,2,2,122,New Customers,3
285,12691.0,28,32,1035.8,4,3,4,434,Loyal Customers,0
286,12693.0,121,41,830.96,2,3,3,233,New Customers,3
287,12694.0,70,37,869.67,3,3,3,333,Loyal Customers,0
288,12695.0,7,27,582.1,5,2,3,523,Loyal Customers,0
289,12697.0,21,43,939.02,4,3,4,434,Loyal Customers,0
290,12700.0,8,270,4867.99,5,5,5,555,Loyal Customers,0
291,12701.0,80,53,797.71,2,3,3,233,Loyal Customers,0
292,12702.0,20,12,219.0,4,1,1,411,Loyal Customers,0
293,12703.0,64,22,274.7,3,2,2,322,Loyal Customers,0
294,12704.0,7,90,2220.84,5,4,5,545,Loyal Customers,0
295,12705.0,15,348,6814.24,4,5,5,455,Loyal Customers,0
296,12707.0,292,33,603.42,1,3,3,133,At Risk,2
297,12708.0,30,174,2616.32,4,5,5,455,Loyal Customers,0
298,12709.0,3,256,9264.1,5,5,5,555,Loyal Customers,0
299,12710.0,97,79,1130.57,2,4,4,244,New Customers,3
300,12712.0,23,142,4241.63,4,5,5,455,Loyal Customers,0
301,12713.0,1,38,848.55,5,3,3,533,Loyal Customers,0
302,12714.0,9,259,4708.86,5,5,5,555,Loyal Customers,0
303,12715.0,106,20,343.36,2,2,2,222,New Customers,3
304,12716.0,4,69,1053.49,5,4,4,544,Loyal Customers,0
305,12717.0,151,56,980.98,2,3,4,234,New Customers,3
306,12718.0,71,19,238.25,3,2,2,322,Loyal Customers,0
307,12719.0,5,42,608.1,5,3,3,533,Loyal Customers,0
308,12720.0,3,359,5713.28,5,5,5,555,Loyal Customers,0
309,12721.0,32,164,2628.98,4,5,5,455,Loyal Customers,0
310,12722.0,85,57,904.33,2,3,4,234,Loyal Customers,0
311,12723.0,4,69,725.07,5,4,3,543,Loyal Customers,0
312,12724.0,5,53,1031.41,5,3,4,534,Loyal Customers,0
313,12725.0,371,24,427.8,1,2,2,122,At Risk,2
314,12726.0,28,124,2609.1,4,5,5,455,Loyal Customers,0
315,12727.0,11,141,3947.7,5,5,5,555,Loyal Customers,0
316,12728.0,71,46,836.33,3,3,3,333,Loyal Customers,0
317,12729.0,114,26,453.01,2,2,2,222,New Customers,3
318,12731.0,24,277,18793.41,4,5,5,455,Loyal Customers,0
319,12732.0,180,12,236.26000000000002,1,1,2,112,New Customers,3
320,12733.0,234,22,383.95,1,2,2,122,At Risk,2
321,12734.0,353,4,110.39999999999999,1,1,1,111,At Risk,2
322,12735.0,315,43,779.5699999999999,1,3,3,133,At Risk,2
323,12736.0,333,4,234.0,1,1,2,112,At Risk,2
324,12738.0,372,11,155.35,1,1,1,111,At Risk,2
325,12739.0,78,38,1013.04,2,3,4,234,Loyal Customers,0
326,12740.0,64,27,427.6,3,2,2,322,Loyal Customers,0
327,12743.0,134,131,540.13,2,5,3,253,New Customers,3
328,12744.0,52,229,9120.39,3,5,5,355,Loyal Customers,0
329,12747.0,2,103,4196.01,5,4,5,545,Loyal Customers,0
330,12748.0,1,4459,28405.56,5,5,5,555,Loyal Customers,0
331,12749.0,4,231,3868.2,5,5,5,555,Loyal Customers,0
332,12750.0,129,15,275.88,2,2,2,222,New Customers,3
333,12752.0,81,53,4366.78,2,3,5,235,Loyal Customers,0
334,12753.0,4,230,21024.01,5,5,5,555,Loyal Customers,0
335,12754.0,236,65,2949.12,1,4,5,145,At Risk,2
336,12755.0,250,6,2203.2,1,1,5,115,At Risk,2
337,12756.0,87,4,112.07999999999998,2,1,1,211,Loyal Customers,0
338,12757.0,16,370,4205.25,4,5,5,455,Loyal Customers,0
339,12758.0,117,97,2791.59,2,4,5,245,New Customers,3
340,12759.0,52,95,1531.44,3,4,4,344,Loyal Customers,0
341,12762.0,8,69,1898.52,5,4,4,544,Loyal Customers,0
342,12763.0,138,18,494.08,2,2,3,223,New Customers,3
343,12764.0,317,45,1693.88,1,3,4,134,At Risk,2
344,12766.0,4,310,6989.63,5,5,5,555,Loyal Customers,0
345,12769.0,239,32,1143.6,1,3,4,134,At Risk,2
346,12770.0,211,12,1351.45,1,1,4,114,New Customers,3
347,12772.0,60,55,892.47,3,3,3,333,Loyal Customers,0
348,12775.0,17,67,1351.24,4,4,4,444,Loyal Customers,0
349,12778.0,20,51,804.23,4,3,3,433,Loyal Customers,0
350,12779.0,21,159,3868.7,4,5,5,455,Loyal Customers,0
351,12781.0,21,30,707.72,4,3,3,433,Loyal Customers,0
352,12782.0,5,107,2273.32,5,4,5,545,Loyal Customers,0
353,12783.0,2,86,1603.87,5,4,4,544,Loyal Customers,0
354,12784.0,9,57,532.8199999999999,5,3,3,533,Loyal Customers,0
355,12785.0,3,15,305.71,5,2,2,522,Loyal Customers,0
356,12787.0,10,20,463.66,5,2,3,523,Loyal Customers,0
357,12789.0,65,4,91.85,3,1,1,311,Loyal Customers,0
358,12790.0,192,21,324.92,1,2,2,122,New Customers,3
359,12791.0,374,2,192.60000000000002,1,1,1,111,At Risk,2
360,12792.0,257,25,400.53999999999996,1,2,2,122,At Risk,2
361,12793.0,335,24,545.48,1,2,3,123,At Risk,2
362,12794.0,53,45,860.41,3,3,3,333,Loyal Customers,0
363,12795.0,19,14,430.48,4,1,2,412,Loyal Customers,0
364,12797.0,360,17,194.18,1,2,1,121,At Risk,2
365,12798.0,10,8,6977.04,5,1,5,515,Loyal Customers,0
366,12802.0,184,26,412.58,1,2,2,122,New Customers,3
367,12808.0,37,28,483.65000000000003,3,2,3,323,Loyal Customers,0
368,12809.0,168,26,484.36,2,2,3,223,New Customers,3
369,12811.0,261,31,514.85,1,3,3,133,At Risk,2
370,12812.0,45,15,229.64000000000001,3,2,1,321,Loyal Customers,0
371,12814.0,102,2,125.92,2,1,1,211,New Customers,3
372,12815.0,148,47,1063.46,2,3,4,234,New Customers,3
373,12816.0,96,29,572.2,2,2,3,223,New Customers,3
374,12817.0,281,4,166.04,1,1,1,111,At Risk,2
375,12818.0,178,16,1517.88,2,2,4,224,New Customers,3
376,12820.0,3,59,942.34,5,4,4,544,Loyal Customers,0
377,12821.0,214,6,92.72,1,1,1,111,New Customers,3
378,12822.0,71,47,918.98,3,3,4,334,Loyal Customers,0
379,12823.0,75,5,1759.5,2,1,4,214,Loyal Customers,0
380,12824.0,60,25,397.12,3,2,2,322,Loyal Customers,0
381,12826.0,3,94,1468.1200000000001,5,4,4,544,Loyal Customers,0
382,12827.0,6,25,430.15000000000003,5,2,2,522,Loyal Customers,0
383,12828.0,3,56,1018.71,5,3,4,534,Loyal Customers,0
384,12829.0,322,12,253.05,1,1,2,112,At Risk,2
385,12830.0,38,39,6748.4,3,3,5,335,Loyal Customers,0
386,12831.0,262,9,215.05,1,1,1,111,At Risk,2
387,12832.0,32,27,383.03,4,2,2,422,Loyal Customers,0
388,12833.0,145,24,417.38,2,2,2,222,New Customers,3
389,12834.0,283,18,312.38,1,2,2,122,At Risk,2
390,12836.0,59,174,2610.36,3,5,5,355,Loyal Customers,0
391,12837.0,173,12,134.1,2,1,1,211,New Customers,3
392,12838.0,34,120,671.95,3,4,3,343,Loyal Customers,0
393,12839.0,3,316,5583.62,5,5,5,555,Loyal Customers,0
394,12840.0,144,116,2714.27,2,4,5,245,New Customers,3
395,12841.0,5,433,3845.63,5,5,5,555,Loyal Customers,0
396,12842.0,70,34,1118.99,3,3,4,334,Loyal Customers,0
397,12843.0,66,108,1680.76,3,4,4,344,Loyal Customers,0
398,12844.0,29,52,325.96000000000004,4,3,2,432,Loyal Customers,0
399,12845.0,267,27,354.09,1,2,2,122,At Risk,2
400,12847.0,22,84,843.64,4,4,3,443,Loyal Customers,0
401,12849.0,31,48,1010.29,4,3,4,434,Loyal Customers,0
402,12851.0,97,47,131.81,2,3,1,231,New Customers,3
403,12852.0,290,20,299.75,1,2,2,122,At Risk,2
404,12853.0,108,84,1881.7,2,4,4,244,New Customers,3
405,12854.0,79,114,1280.9,2,4,4,244,Loyal Customers,0
406,12855.0,373,3,38.1,1,1,1,111,At Risk,2
407,12856.0,8,314,2153.53,5,5,5,555,Loyal Customers,0
408,12857.0,211,46,1106.4,1,3,4,134,New Customers,3
409,12863.0,52,6,504.2,3,1,3,313,Loyal Customers,0
410,12864.0,138,3,147.12,2,1,1,211,New Customers,3
411,12865.0,26,96,1548.07,4,4,4,444,Loyal Customers,0
412,12866.0,283,26,559.12,1,2,3,123,At Risk,2
413,12867.0,26,547,3958.74,4,5,5,455,Loyal Customers,0
414,12868.0,186,107,1607.0600000000002,1,4,4,144,New Customers,3
415,12870.0,366,2,-14.899999999999999,1,1,1,111,At Risk,2
416,12871.0,84,11,380.64,2,1,2,212,Loyal Customers,0
417,12872.0,327,66,599.97,1,4,3,143,At Risk,2
418,12873.0,282,4,374.0,1,1,2,112,At Risk,2
419,12875.0,143,2,343.2300000000001,2,1,2,212,New Customers,3
